,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
576,I asked my friend,so well,where had he,learnt to dance,SSC CGL (Tier-I) 19/04/2022 Shift-II,c,Ans. (c) :  In Indirect speech interrogative sentence of reported speech is always used in Assertive form. Hence ‘Where he had’ will be used in place of ‘Wher e had he’.  Correct sentence – I asked my friend where he had  learnt to dance.,I asked my friend/where had he/learnt to dance/so well,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error.
577,The policeman asked,many people but,how the accident happened,no one was knowing,SSC CGL (Tier-I) 12/04/2022 Shift-III,d,"Ans. (d) :  In the above sentence, ‘no one had known’ will be used instead of ‘no one was knowing’. the g iven sentence is used in direct speech if it changes int o indirect, ‘Had + V 3’ will be used. Correct Sentence-  The Policeman asked many people but no one had known  how the accident happened.",The policeman asked / many people but / no one was knowing / how the accident happened,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
578,a collection of,were being showed,old manuscripts,The visitors,SSC Constable GD-30/11/2021 Shift-III,b,"Ans. (b) :  In the above sentence, ‘were being shown’ will be used instead of ‘were being showed’. Becaus e the sentence is in Passive Voice and the following structure is used in this sentence-  Was/were + being + verb 3 Show (I) → Showed (II) → Shown (III) Correct sentence  - The visitors were being shown  a collection of old manuscripts.",The visitors / were being showed / a collection of / old manuscripts,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
579,need to give a clarification,The teacher punished him,that he does not,and told him,SSC Constable GD-25/11/2021 Shift-III,c,"Ans. (c) :  In the above sentence, ‘did not’ will be used instead of ‘does not’, because above sentence is in  Indirect speech. and reporting is in past tense. Hence reported speech would be appropriate in past indefinite. Correct sentence – The teacher punished him and told him that he did n ot need to give a clarification.  Spotting Error 87 YCT",The teacher punished him / and told him / that he does not / need to give a clarification,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
580,to leave the country,the government,The president forced,when the people rose up against,SSC Constable GD-17/11/2021 Shift-II,c,"Ans. (c) :  In the above sentence, ‘was forced’ will be used in place of ‘forced’, because the sense of the  sentence is in passive. The passive structure is as follows-  was/were + viii  Correct Sentence  - The president was forced  to leave the country when the people rose up against the government.",The president forced/ to leave the country/when the people rose up against / the government,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
581,Feeling unwell,he was,Peter said,then,SSC Constable GD-01/12/2021 Shift-I,d,"Ans. (d) :  In the above sentence, ‘that’ will be used instead of ‘then’, because while making simple sent ence of indirect narration, ‘that’ is used as a Conjunct ion. Correct sentence– ∗ Peter said that  he was feeling unwell.",Peter said / then / he was / feeling unwell,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
582,The author’s new novel,will launched soon,which is,about social change,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),b,"Ans. (b) : In the above sentence 'will be launched' is used is the place of 'will launched'. because the s ense of the above sentence is in passive voice so the pa ssive structure will/shall + be + verb 3 will be used. Correct sentence -  The author's new novel, which is about social chang e, will launch  soon.","The author's new novel, which is about social change, will launched soon","Identify the segment in the sentence, which contains the grammatical error."
583,on the way,he was bited,on his toe,by a poisonous snake,SSC CGL (Tier-I) – 10/06/2019 (Shift-III),b,"Ans. (b) :  In the above sentence The use of ‘he was bitten’ would be appropriate instead of ‘he was bit ed’. Because sentence is passive voice. In passive voice , the third form of the main verb is used.  Bite Bit Bitten− −  P.V.- 3 object was / were verb by subject− + + +  Correct sentence :-  On the way he was bitten  on his toe by a poisonous snake.",On the way he was bited on his toe by a poisonous snake,In the sentence identify the segment which contains the grammatical error.
584,that where had her mother gone,when the results of the contest,Supriya asked Kiran,were being declared,SSC CGL (Tier-I) – 10/06/2019 (Shift-III),a,"Ans. (a) :  In the above sentence ‘Where’ will be used instead of ‘that where’. Because any other conjunct ion is not used before wh-word. In Interrogative senten ce of Indirect speech, ‘Wh-word’ is used as a conjunct ion.  Hence the use of ‘that’ is superfluous and will con vert the sentence into assertive.   Correct sentence :-  Supriya asked Kiran where  her mother had gone when the results of the contest were being declared.",Supriya asked Kiran that where had her mother gone when the results of the contest were being declared,In the sentence identify the segment which contains the grammatical error.
585,an opportunity,a University,to go to,did never have,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),d,Ans. (d) : Here the correct answer is (d) did not have. In the above sentence the error is related to adver b placement and adverb must come before the auxiliary  verb in a sentence. the structure of the sentence i s incorrect. Thus 'did never' will be replaced by 'Never did'.,My father did never have an opportunity to go to a University,"Identify the segment in the sentence, which contains the grammatical error."
586,1,2,3,4,SSC CGL (Phase-II) 17/02/2018,b,"Ans. (b) In the given sentence, 'been' will be used in place of 'being' because the sentence is in passive  voice. has/have + been + verb 3 Correct sentence-  'Consumer's access to content. It should have been  provided without any hindrance.",(4),"In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select No Error Service providers cannot stand in the way of a (1)/ consumer's access to content, it should have being provided (2)/ without any hindrance (3)/ No error."
587,by my brother,No error,was posting yesterday,The letter,SSC CPO-SI – 11/12/2019 (Shift-I),c,"Ans: (c) In the above sentence, ‘Posted’ would be appropriate instead ‘Posting’ because given sentenc e is in passive voice. Hence the use of third form of verb would be appropriate. P.V.- 3 object was / were verb by subject+ + + +  Correct sentence :-  The letter was posted  yesterday by my brother.","Identify the segment in the sentence which contains the grammatical errorIf there is no error, select 'No error' The letter was posting yesterday by my brother",
